,X,Y,Primary_original,Secondary_original,Primary,Secondary
0,0,0,0.9922053625741701,1.1418844102119325,-0.93458927642637,0.371856103391887
1,0,50,0.9073446405250494,0.8114364250167858,-0.9741138621220896,-0.21470156532368834
2,0,100,0.8754550932571581,0.6000465668778042,-1.1030625434023054,-0.5388360404768153
3,0,150,0.25922487425642526,0.523995517181496,-1.695397723789954,-0.7554150193016473
4,0,200,0.3039774145617608,0.3044306367332547,-1.5141018951186669,-1.1030625434023054
5,0,250,-0.22650437450210492,0.13254882110000893,-2.517033145911915,-1.5141018951186669
6,0,300,-0.019953457625542778,-0.11749934814565295,-2.1700903864379795,-2.1700903864379795
7,0,350,0.10514440614959025,0.25332182739002385,-1.9599639986264128,-1.1503493693179911
8,0,400,0.5482606587717312,0.19757280252658938,-1.2535654323309111,-1.3722038093362094
9,0,450,0.6526146044432998,0.5168786612398595,-1.1503493693179911,-0.7891916434188654
10,50,0,1.1492494738193864,0.8806299248905496,-0.7891916434188654,-0.1130385259230029
11,50,50,1.3713068398986419,1.003332273503871,-0.6588376932373551,0.1891184197137996
12,50,100,1.2020638867166566,0.6965072620639662,-0.7554150193016473,-0.42614802273285535
13,50,150,0.5855810445364068,0.33511917947063685,-1.200358849204386,-1.015222018481258
14,50,200,0.537187335791172,0.22704696844333772,-1.3105791091122228,-1.3105791091122228
15,50,250,0.2041658660769589,-0.09321053864009182,-1.8119106879055051,-1.9599639986264128
16,50,300,0.2765070865090406,-0.03464944923158551,-1.5981931507522855,-1.8119106879055051
17,50,350,0.42014398680626874,0.1236987717626962,-1.4395314748540229,-1.5981931507522855
18,50,400,0.4289501901613547,0.3240095286872433,-1.3722038093362094,-1.0581216036599006
19,50,450,0.9053386792826876,0.5337457970321351,-1.0581216036599006,-0.6588376932373551
20,100,0,1.7765437347883994,0.9297897110381506,-0.5388360404768153,-0.012533476236360697
21,100,50,1.7114410165669618,1.205790253792709,-0.5680515063892866,0.51007346899848
22,100,100,1.5863493170194596,0.5260191520219817,-0.6280060175593118,-0.7224790472652536
23,100,150,1.085930753738908,0.6093955934786014,-0.8238936191965995,-0.5100734689984785
