,X,Y,Primary_original,Secondary_original,Primary,Secondary
0,0,0,46.0,11.0,0.11303852592300379,0.11303852592300379
1,0,50,46.03015368960705,10.969846310392954,0.1636584760813169,-0.13830419491390789
2,0,100,46.116977778440514,10.88302222155949,0.26631061798029676,-0.2404260323203553
3,0,150,46.25,10.75,0.51007346899848,-0.48172686305347234
4,0,200,46.41317591116653,10.586824088833465,0.7554150193016491,-0.7224790472652536
5,0,250,46.58682408883347,10.413175911166535,1.0152220184812601,-0.9741138621220896
6,0,300,46.75,10.25,1.3105791091122256,-1.2535654323309111
7,0,350,46.883022221559486,10.11697777844051,1.6953977237899607,-1.5981931507522855
8,0,400,46.96984631039295,10.030153689607046,2.170090386437997,-1.9599639986264128
9,0,450,47.0,10.0,2.5758292976711585,-2.065027192532196
10,50,0,45.96984631039295,11.030153689607046,-0.13830419491390789,0.1636584760813169
11,50,50,46.0,11.0,0.11303852592300379,0.11303852592300379
12,50,100,46.08682408883347,10.913175911166535,0.2147015653236899,-0.18911841971379872
13,50,150,46.21984631039295,10.780153689607046,0.45376220461371464,-0.42614802273285535
14,50,200,46.383022221559486,10.61697777844051,0.6903088218141903,-0.6588376932373551
15,50,250,46.55667039922642,10.44332960077358,0.9345892764263721,-0.8964733501091706
16,50,300,46.71984631039295,10.280153689607046,1.2003588492043886,-1.1503493693179911
17,50,350,46.852868531952446,10.147131468047556,1.5141018951186718,-1.4395314748540229
18,50,400,46.939692620785905,10.060307379214091,1.8119106879055136,-1.8119106879055051
19,50,450,46.96984631039295,10.030153689607046,2.170090386437997,-1.9599639986264128
20,100,0,45.883022221559486,11.11697777844051,-0.2404260323203553,0.26631061798029676
21,100,50,45.91317591116653,11.086824088833465,-0.18911841971379872,0.2147015653236899
22,100,100,46.0,11.0,0.11303852592300379,0.11303852592300379
23,100,150,46.133022221559486,10.86697777844051,0.31863937454920777,-0.29237490417614764
24,100,200,46.296198132726026,10.703801867273976,0.5680515063892879,-0.5388360404768153
25,100,250,46.46984631039295,10.530153689607046,0.8238936191966013,-0.7891916434188654
26,100,300,46.633022221559486,10.36697777844051,1.103062543402308,-1.0581216036599006
27,100,350,46.76604444311898,10.233955556881021,1.3722038093362132,-1.3722038093362094
